"Aatrox","the Darkin Blade"
"Thresh","the Chain Warden"
"Tryndamere","the Barbarian King"
"Gragas","the Rabble Rouser"
"Cassiopeia","the Serpent's Embrace"
"Aurelion Sol","The Star Forger"
"Ryze","the Rune Mage"
"Poppy","Keeper of the Hammer"
"Sion","The Undead Juggernaut"
"Annie","the Dark Child"
"Jhin","the Virtuoso"
"Karma","the Enlightened One"
"Nautilus","the Titan of the Depths"
"Kled","the Cantankerous Cavalier"
"Lux","the Lady of Luminosity"
"Ahri","the Nine-Tailed Fox"
"Olaf","the Berserker"
"Camille","the Steel Shadow"
"Viktor","the Machine Herald"
"Anivia","the Cryophoenix"
"Singed","the Mad Chemist"
"Garen","The Might of Demacia"
"Lissandra","the Ice Witch"
"Maokai","the Twisted Treant"
"Morgana","Fallen Angel"
"Evelynn","the Widowmaker"
"Fizz","the Tidal Trickster"
"Heimerdinger","the Revered Inventor"
"Zed","the Master of Shadows"
"Rumble","the Mechanized Menace"
"Mordekaiser","the Iron Revenant"
"Sona","Maven of the Strings"
"Kog'Maw","the Mouth of the Abyss"
"Katarina","the Sinister Blade"
"Lulu","the Fae Sorceress"
"Ashe","the Frost Archer"
"Karthus","the Deathsinger"
"Alistar","the Minotaur"
"Darius","the Hand of Noxus"
"Vayne","the Night Hunter"
"Varus","the Arrow of Retribution"
"Udyr","the Spirit Walker"
"Leona","the Radiant Dawn"
"Jayce","the Defender of Tomorrow"
"Syndra","the Dark Sovereign"
"Pantheon","the Artisan of War"
"Riven","the Exile"
"Kha'Zix","the Voidreaver"
"Corki","the Daring Bombardier"
"Azir","the Emperor of the Sands"
"Caitlyn","the Sheriff of Piltover"
"Nidalee","the Bestial Huntress"
"Kennen","the Heart of the Tempest"
"Galio","the Sentinel's Sorrow"
"Veigar","the Tiny Master of Evil"
"Bard","the Wandering Caretaker"
"Gnar","the Missing Link"
"Malzahar","the Prophet of the Void"
"Graves","the Outlaw"
"Vi","the Piltover Enforcer"
"Kayle","The Judicator"
"Irelia","the Will of the Blades"
"Lee Sin","the Blind Monk"
"Illaoi","the Kraken Priestess"
"Elise","the Spider Queen"
"Volibear","the Thunder's Roar"
"Nunu","the Yeti Rider"
"Twisted Fate","the Card Master"
"Jax","Grandmaster at Arms"
"Shyvana","the Half-Dragon"
"Kalista","the Spear of Vengeance"
"Dr. Mundo","the Madman of Zaun"
"Ivern","the Green Father"
"Diana","Scorn of the Moon"
"Tahm Kench","the River King"
"Brand","the Burning Vengeance"
"Sejuani","the Winter's Wrath"
"Vladimir","the Crimson Reaper"
"Zac","the Secret Weapon"
"Rek'Sai","the Void Burrower"
"Quinn","Demacia's Wings"
"Akali","the Fist of Shadow"
"Taliyah","the Stoneweaver"
"Tristana","the Yordle Gunner"
"Hecarim","the Shadow of War"
"Sivir","the Battle Mistress"
"Lucian","the Purifier"
"Rengar","the Pridestalker"
"Warwick","the Blood Hunter"
"Skarner","the Crystal Vanguard"
"Malphite","Shard of the Monolith"
"Yasuo","the Unforgiven"
"Xerath","the Magus Ascendant"
"Teemo","the Swift Scout"
"Nasus","the Curator of the Sands"
"Renekton","the Butcher of the Sands"
"Draven","the Glorious Executioner"
"Shaco","the Demon Jester"
"Swain","the Master Tactician"
"Talon","the Blade's Shadow"
"Janna","the Storm's Fury"
"Ziggs","the Hexplosives Expert"
"Ekko","the Boy Who Shattered Time"
"Orianna","the Lady of Clockwork"
"Fiora","the Grand Duelist"
"Fiddlesticks","the Harbinger of Doom"
"Cho'Gath","the Terror of the Void"
"Rammus","the Armordillo"
"LeBlanc","the Deceiver"
"Soraka","the Starchild"
"Zilean","the Chronokeeper"
"Nocturne","the Eternal Nightmare"
"Jinx","the Loose Cannon"
"Yorick","Shepherd of Souls"
"Urgot","the Headsman's Pride"
"Kindred","The Eternal Hunters"
"Miss Fortune","the Bounty Hunter"
"Wukong","the Monkey King"
"Blitzcrank","the Great Steam Golem"
"Shen","the Eye of Twilight"
"Braum","the Heart of the Freljord"
"Xin Zhao","the Seneschal of Demacia"
"Twitch","the Plague Rat"
"Master Yi","the Wuju Bladesman"
"Taric","the Shield of Valoran"
"Amumu","the Sad Mummy"
"Gangplank","the Saltwater Scourge"
"Trundle","the Troll King"
"Kassadin","the Void Walker"
"Vel'Koz","the Eye of the Void"
"Zyra","Rise of the Thorns"
"Nami","the Tidecaller"
"Jarvan IV","the Exemplar of Demacia"
"Ezreal","the Prodigal Explorer"
